TABLE,PROPERTY,COUNT,PERCENT
1,Go,3866,3.87
1,Meditaranean Avenue,2591,2.59
1,Community Chest #1,2522,2.52
1,Baltic Avenue,2715,2.71
1,Income Tax,2884,2.88
1,Reading Railroad,3778,3.78
1,Oriental Avenue,2735,2.73
1,Chance #1,1197,1.20
1,Vermont Avenue,2714,2.71
1,Connecticut Avenue,2711,2.71
1,Jail,11954,11.95
1,St. Charles Place,2669,2.67
1,Electric Company,2730,2.73
1,States Avenue,2746,2.75
1,Virginia Avenue,2950,2.95
1,Pennsylvania Railroad,3013,3.01
1,St. James Place,3251,3.25
1,Community Chest #2,3195,3.19
1,Tennessee Avenue,3374,3.37
1,New York Avenue,3701,3.70
1,Free Parking,3300,3.30
1,Kentucky Avenue,3206,3.21
1,Chance #2,1419,1.42
1,Indiana Avenue,3075,3.08
1,Illinois Avenue,4132,4.13
1,B. & O. Railroad,3167,3.17
1,Atlantic Avenue,3094,3.09
1,Ventnor Avenue,3036,3.04
1,Water Works,4004,4.00
1,Marvin Gardens,2970,2.97
1,Go To Jail,3045,3.04
1,Pacific Avenue,3113,3.11
1,North Carolina Avenue,2837,2.84
1,Community Chest #3,2808,2.81
1,Pennsylvania Avenue,2908,2.91
1,Short Line Railroad,4940,4.94
1,Chance #3,1071,1.07
1,Park Place,2660,2.66
1,Luxury Tax,2545,2.54
1,Boardwalk,3731,3.73
2,Go,3848,3.85
2,Meditaranean Avenue,2738,2.74
2,Community Chest #1,2544,2.54
2,Baltic Avenue,2695,2.70
2,Income Tax,2989,2.99
2,Reading Railroad,3775,3.77
2,Oriental Avenue,2682,2.68
2,Chance #1,1251,1.25
2,Vermont Avenue,2675,2.67
2,Connecticut Avenue,2653,2.65
2,Jail,11792,11.79
2,St. Charles Place,2632,2.63
2,Electric Company,2958,2.96
2,States Avenue,2808,2.81
2,Virginia Avenue,2987,2.99
2,Pennsylvania Railroad,2958,2.96
2,St. James Place,3232,3.23
2,Community Chest #2,3226,3.23
2,Tennessee Avenue,3312,3.31
2,New York Avenue,3610,3.61
2,Free Parking,3249,3.25
2,Kentucky Avenue,3240,3.24
2,Chance #2,1395,1.40
2,Indiana Avenue,3118,3.12
2,Illinois Avenue,4154,4.15
2,B. & O. Railroad,3025,3.02
2,Atlantic Avenue,3037,3.04
2,Ventnor Avenue,3026,3.03
2,Water Works,4054,4.05
2,Marvin Gardens,2946,2.95
2,Go To Jail,3041,3.04
2,Pacific Avenue,3186,3.19
2,North Carolina Avenue,2955,2.96
2,Community Chest #3,2863,2.86
2,Pennsylvania Avenue,2801,2.80
2,Short Line Railroad,4878,4.88
2,Chance #3,1092,1.09
2,Park Place,2584,2.58
2,Luxury Tax,2554,2.55
2,Boardwalk,3609,3.61
3,Go,3903,3.90
3,Meditaranean Avenue,2659,2.66
3,Community Chest #1,2570,2.57
3,Baltic Avenue,2743,2.74
3,Income Tax,2917,2.92
3,Reading Railroad,3815,3.82
3,Oriental Avenue,2665,2.67
3,Chance #1,1207,1.21
3,Vermont Avenue,2774,2.77
3,Connecticut Avenue,2705,2.71
3,Jail,11570,11.57
3,St. Charles Place,2595,2.60
3,Electric Company,2821,2.82
3,States Avenue,2776,2.78
3,Virginia Avenue,3007,3.01
3,Pennsylvania Railroad,3004,3.00
3,St. James Place,3165,3.16
3,Community Chest #2,3226,3.23
3,Tennessee Avenue,3310,3.31
3,New York Avenue,3562,3.56
3,Free Parking,3233,3.23
3,Kentucky Avenue,3289,3.29
3,Chance #2,1524,1.52
3,Indiana Avenue,3054,3.05
3,Illinois Avenue,4091,4.09
3,B. & O. Railroad,3137,3.14
3,Atlantic Avenue,3064,3.06
3,Ventnor Avenue,3096,3.10
3,Water Works,4056,4.06
3,Marvin Gardens,3045,3.04
3,Go To Jail,2908,2.91
3,Pacific Avenue,3008,3.01
3,North Carolina Avenue,2833,2.83
3,Community Chest #3,2970,2.97
3,Pennsylvania Avenue,2763,2.76
3,Short Line Railroad,5026,5.03
3,Chance #3,1074,1.07
3,Park Place,2739,2.74
3,Luxury Tax,2438,2.44
3,Boardwalk,3753,3.75
4,Go,3904,3.90
4,Meditaranean Avenue,2692,2.69
4,Community Chest #1,2529,2.53
4,Baltic Avenue,2751,2.75
4,Income Tax,2925,2.93
4,Reading Railroad,3730,3.73
4,Oriental Avenue,2713,2.71
4,Chance #1,1250,1.25
4,Vermont Avenue,2711,2.71
4,Connecticut Avenue,2747,2.75
4,Jail,11639,11.64
4,St. Charles Place,2623,2.62
4,Electric Company,2929,2.93
4,States Avenue,2818,2.82
4,Virginia Avenue,2885,2.89
4,Pennsylvania Railroad,3007,3.01
4,St. James Place,3096,3.10
4,Community Chest #2,3295,3.29
