TABLE,PROPERTY,COUNT,PERCENT
1,Go,39491,3.95
1,Meditaranean Avenue,26409,2.64
1,Community Chest #1,25523,2.55
1,Baltic Avenue,27011,2.70
1,Income Tax,29368,2.94
1,Reading Railroad,37642,3.76
1,Oriental Avenue,26631,2.66
1,Chance #1,12228,1.22
1,Vermont Avenue,27169,2.72
1,Connecticut Avenue,27076,2.71
1,Jail,117934,11.79
1,St. Charles Place,26449,2.64
1,Electric Company,28697,2.87
1,States Avenue,27543,2.75
1,Virginia Avenue,29667,2.97
1,Pennsylvania Railroad,29678,2.97
1,St. James Place,32201,3.22
1,Community Chest #2,32617,3.26
1,Tennessee Avenue,33456,3.35
1,New York Avenue,36137,3.61
1,Free Parking,33326,3.33
1,Kentucky Avenue,31184,3.12
1,Chance #2,14484,1.45
1,Indiana Avenue,30903,3.09
1,Illinois Avenue,41597,4.16
1,B. & O. Railroad,31094,3.11
1,Atlantic Avenue,30675,3.07
1,Ventnor Avenue,30630,3.06
1,Water Works,40742,4.07
1,Marvin Gardens,29629,2.96
1,Go To Jail,29978,3.00
1,Pacific Avenue,30260,3.03
1,North Carolina Avenue,28691,2.87
1,Community Chest #3,28787,2.88
1,Pennsylvania Avenue,28006,2.80
1,Short Line Railroad,49730,4.97
1,Chance #3,11229,1.12
1,Park Place,26221,2.62
1,Luxury Tax,25002,2.50
1,Boardwalk,37030,3.70
2,Go,39558,3.96
2,Meditaranean Avenue,26516,2.65
2,Community Chest #1,25684,2.57
2,Baltic Avenue,27183,2.72
2,Income Tax,29082,2.91
2,Reading Railroad,37887,3.79
2,Oriental Avenue,27072,2.71
2,Chance #1,12354,1.24
2,Vermont Avenue,26593,2.66
2,Connecticut Avenue,27364,2.74
2,Jail,118090,11.81
2,St. Charles Place,26320,2.63
2,Electric Company,28668,2.87
2,States Avenue,27592,2.76
2,Virginia Avenue,29440,2.94
2,Pennsylvania Railroad,29659,2.97
2,St. James Place,32372,3.24
2,Community Chest #2,32570,3.26
2,Tennessee Avenue,33321,3.33
2,New York Avenue,36413,3.64
2,Free Parking,32875,3.29
2,Kentucky Avenue,31573,3.16
2,Chance #2,14307,1.43
2,Indiana Avenue,31010,3.10
2,Illinois Avenue,41452,4.15
2,B. & O. Railroad,30995,3.10
2,Atlantic Avenue,30572,3.06
2,Ventnor Avenue,30694,3.07
2,Water Works,40641,4.06
2,Marvin Gardens,29606,2.96
2,Go To Jail,29820,2.98
2,Pacific Avenue,30632,3.06
2,North Carolina Avenue,28869,2.89
2,Community Chest #3,28894,2.89
2,Pennsylvania Avenue,27594,2.76
2,Short Line Railroad,49800,4.98
