TABLE,PROPERTY,COUNT,PERCENT
1,Go,3880,3.88
1,Meditaranean Avenue,2690,2.69
1,Community Chest #1,2547,2.55
1,Baltic Avenue,2689,2.69
1,Income Tax,2962,2.96
1,Reading Railroad,3709,3.71
1,Oriental Avenue,2760,2.76
1,Chance #1,1246,1.25
1,Vermont Avenue,2711,2.71
1,Connecticut Avenue,2646,2.65
1,Jail,18770,18.77
1,St. Charles Place,2624,2.62
1,Electric Company,2749,2.75
1,States Avenue,2779,2.78
1,Virginia Avenue,3026,3.03
1,Pennsylvania Railroad,2999,3.00
1,St. James Place,3266,3.27
1,Community Chest #2,3211,3.21
1,Tennessee Avenue,3346,3.35
1,New York Avenue,3719,3.72
1,Free Parking,3281,3.28
1,Kentucky Avenue,3122,3.12
1,Chance #2,1388,1.39
1,Indiana Avenue,3084,3.08
1,Illinois Avenue,4267,4.27
1,B. & O. Railroad,3078,3.08
1,Atlantic Avenue,3032,3.03
1,Ventnor Avenue,3046,3.05
1,Water Works,4016,4.02
1,Marvin Gardens,2943,2.94
1,Go To Jail,2994,2.99
1,Pacific Avenue,3123,3.12
1,North Carolina Avenue,2871,2.87
1,Community Chest #3,2781,2.78
1,Pennsylvania Avenue,2783,2.78
1,Short Line Railroad,4985,4.98
1,Chance #3,1103,1.10
1,Park Place,2576,2.58
1,Luxury Tax,2522,2.52
1,Boardwalk,3695,3.69
2,Go,3915,3.91
2,Meditaranean Avenue,2662,2.66
2,Community Chest #1,2496,2.50
2,Baltic Avenue,2747,2.75
2,Income Tax,2910,2.91
2,Reading Railroad,3789,3.79
2,Oriental Avenue,2659,2.66
2,Chance #1,1239,1.24
2,Vermont Avenue,2611,2.61
2,Connecticut Avenue,2731,2.73
2,Jail,18933,18.93
2,St. Charles Place,2618,2.62
2,Electric Company,2852,2.85
2,States Avenue,2786,2.79
2,Virginia Avenue,2999,3.00
2,Pennsylvania Railroad,2922,2.92
2,St. James Place,3272,3.27
2,Community Chest #2,3304,3.30
2,Tennessee Avenue,3265,3.26
2,New York Avenue,3622,3.62
2,Free Parking,3272,3.27
2,Kentucky Avenue,3175,3.17
2,Chance #2,1426,1.43
2,Indiana Avenue,3043,3.04
2,Illinois Avenue,4211,4.21
2,B. & O. Railroad,3016,3.02
2,Atlantic Avenue,3039,3.04
2,Ventnor Avenue,3020,3.02
2,Water Works,4140,4.14
2,Marvin Gardens,3006,3.01
2,Go To Jail,3021,3.02
2,Pacific Avenue,3053,3.05
2,North Carolina Avenue,2830,2.83
2,Community Chest #3,2917,2.92
2,Pennsylvania Avenue,2723,2.72
2,Short Line Railroad,4921,4.92
2,Chance #3,1090,1.09
2,Park Place,2758,2.76
2,Luxury Tax,2510,2.51
2,Boardwalk,3713,3.71
3,Go,4064,4.06
3,Meditaranean Avenue,2511,2.51
3,Community Chest #1,2580,2.58
3,Baltic Avenue,2629,2.63
3,Income Tax,2962,2.96
3,Reading Railroad,3842,3.84
3,Oriental Avenue,2713,2.71
3,Chance #1,1234,1.23
3,Vermont Avenue,2675,2.67
3,Connecticut Avenue,2688,2.69
3,Jail,18750,18.75
3,St. Charles Place,2602,2.60
3,Electric Company,2898,2.90
3,States Avenue,2821,2.82
3,Virginia Avenue,2902,2.90
3,Pennsylvania Railroad,2913,2.91
3,St. James Place,3241,3.24
3,Community Chest #2,3215,3.21
3,Tennessee Avenue,3347,3.35
3,New York Avenue,3735,3.74
3,Free Parking,3252,3.25
3,Kentucky Avenue,3121,3.12
3,Chance #2,1467,1.47
3,Indiana Avenue,3080,3.08
3,Illinois Avenue,4239,4.24
3,B. & O. Railroad,3007,3.01
3,Atlantic Avenue,2969,2.97
3,Ventnor Avenue,3040,3.04
3,Water Works,4147,4.15
3,Marvin Gardens,2991,2.99
3,Go To Jail,3007,3.01
3,Pacific Avenue,2953,2.95
3,North Carolina Avenue,2987,2.99
3,Community Chest #3,2861,2.86
3,Pennsylvania Avenue,2728,2.73
3,Short Line Railroad,5004,5.00
3,Chance #3,1082,1.08
3,Park Place,2598,2.60
3,Luxury Tax,2454,2.45
3,Boardwalk,3731,3.73
4,Go,3896,3.90
4,Meditaranean Avenue,2657,2.66
4,Community Chest #1,2561,2.56
4,Baltic Avenue,2701,2.70
4,Income Tax,2875,2.88
4,Reading Railroad,3815,3.82
4,Oriental Avenue,2716,2.72
4,Chance #1,1231,1.23
4,Vermont Avenue,2737,2.74
4,Connecticut Avenue,2676,2.68
4,Jail,18811,18.81
4,St. Charles Place,2621,2.62
4,Electric Company,2808,2.81
4,States Avenue,2826,2.83
4,Virginia Avenue,3007,3.01
4,Pennsylvania Railroad,2964,2.96
4,St. James Place,3256,3.26
4,Community Chest #2,3273,3.27
4,Tennessee Avenue,3319,3.32
4,New York Avenue,3776,3.78
4,Free Parking,3403,3.40
