TABLE,PROPERTY,COUNT,PERCENT
1,Go,28,2.80
1,Meditaranean Avenue,33,3.30
1,Community Chest #1,31,3.10
1,Baltic Avenue,25,2.50
1,Income Tax,27,2.70
1,Reading Railroad,41,4.10
1,Oriental Avenue,23,2.30
1,Chance #1,12,1.20
1,Vermont Avenue,27,2.70
1,Connecticut Avenue,27,2.70
1,Jail,100,10.00
1,St. Charles Place,28,2.80
1,Electric Company,27,2.70
1,States Avenue,35,3.50
1,Virginia Avenue,27,2.70
1,Pennsylvania Railroad,33,3.30
1,St. James Place,31,3.10
1,Community Chest #2,36,3.60
1,Tennessee Avenue,28,2.80
1,New York Avenue,34,3.40
1,Free Parking,35,3.50
1,Kentucky Avenue,33,3.30
1,Chance #2,14,1.40
1,Indiana Avenue,32,3.20
1,Illinois Avenue,45,4.50
1,B. & O. Railroad,20,2.00
1,Atlantic Avenue,30,3.00
1,Ventnor Avenue,32,3.20
1,Water Works,38,3.80
1,Marvin Gardens,31,3.10
1,Go To Jail,26,2.60
1,Pacific Avenue,32,3.20
1,North Carolina Avenue,22,2.20
1,Community Chest #3,36,3.60
1,Pennsylvania Avenue,33,3.30
1,Short Line Railroad,52,5.20
1,Chance #3,10,1.00
1,Park Place,25,2.50
1,Luxury Tax,24,2.40
1,Boardwalk,43,4.30
2,Go,43,4.30
2,Meditaranean Avenue,23,2.30
2,Community Chest #1,32,3.20
2,Baltic Avenue,29,2.90
2,Income Tax,32,3.20
2,Reading Railroad,32,3.20
2,Oriental Avenue,27,2.70
2,Chance #1,16,1.60
2,Vermont Avenue,35,3.50
2,Connecticut Avenue,31,3.10
2,Jail,97,9.70
2,St. Charles Place,21,2.10
2,Electric Company,31,3.10
2,States Avenue,30,3.00
2,Virginia Avenue,32,3.20
2,Pennsylvania Railroad,37,3.70
2,St. James Place,25,2.50
2,Community Chest #2,31,3.10
2,Tennessee Avenue,36,3.60
2,New York Avenue,37,3.70
2,Free Parking,31,3.10
2,Kentucky Avenue,25,2.50
2,Chance #2,17,1.70
2,Indiana Avenue,26,2.60
2,Illinois Avenue,51,5.10
2,B. & O. Railroad,30,3.00
2,Atlantic Avenue,34,3.40
2,Ventnor Avenue,29,2.90
2,Water Works,38,3.80
2,Marvin Gardens,30,3.00
2,Go To Jail,26,2.60
2,Pacific Avenue,24,2.40
2,North Carolina Avenue,34,3.40
2,Community Chest #3,28,2.80
2,Pennsylvania Avenue,29,2.90
2,Short Line Railroad,58,5.80
2,Chance #3,7,0.70
2,Park Place,25,2.50
2,Luxury Tax,24,2.40
2,Boardwalk,38,3.80
3,Go,46,4.60
3,Meditaranean Avenue,23,2.30
3,Community Chest #1,35,3.50
3,Baltic Avenue,34,3.40
3,Income Tax,35,3.50
3,Reading Railroad,40,4.00
3,Oriental Avenue,21,2.10
3,Chance #1,17,1.70
3,Vermont Avenue,25,2.50
3,Connecticut Avenue,24,2.40
3,Jail,108,10.80
3,St. Charles Place,28,2.80
3,Electric Company,31,3.10
3,States Avenue,32,3.20
3,Virginia Avenue,26,2.60
3,Pennsylvania Railroad,24,2.40
3,St. James Place,32,3.20
3,Community Chest #2,29,2.90
3,Tennessee Avenue,26,2.60
3,New York Avenue,38,3.80
3,Free Parking,38,3.80
3,Kentucky Avenue,37,3.70
3,Chance #2,8,0.80
3,Indiana Avenue,24,2.40
3,Illinois Avenue,38,3.80
3,B. & O. Railroad,34,3.40
3,Atlantic Avenue,29,2.90
3,Ventnor Avenue,33,3.30
3,Water Works,44,4.40
3,Marvin Gardens,29,2.90
3,Go To Jail,24,2.40
3,Pacific Avenue,28,2.80
3,North Carolina Avenue,24,2.40
3,Community Chest #3,28,2.80
3,Pennsylvania Avenue,25,2.50
3,Short Line Railroad,52,5.20
3,Chance #3,17,1.70
3,Park Place,35,3.50
3,Luxury Tax,28,2.80
3,Boardwalk,36,3.60
4,Go,33,3.30
4,Meditaranean Avenue,26,2.60
4,Community Chest #1,26,2.60
4,Baltic Avenue,35,3.50
4,Income Tax,30,3.00
4,Reading Railroad,32,3.20
4,Oriental Avenue,27,2.70
